caption_sentence,cleaned_tokens
There's some other nonAI topics.,"['nonai', 'topic']"
"One of them, if some other nonAI topics.","['one', 'nonai', 'topic']"
"One of them, if some other nonAI topics.","['one', 'nonai', 'topic']"
"One of them, if you've watched any of my videos, you'll you've watched any of my videos, you'll you've watched any of my videos, you'll know I'm a big fan of these things know I'm a big fan of these things know I'm a big fan of these things called pass keys, which are a replacement for passwords.","['one', 'watched', 'video', 'watched', 'video', 'watched', 'video', 'know', 'big', 'fan', 'thing', 'know', 'big', 'fan', 'thing', 'know', 'big', 'fan', 'thing', 'called', 'pas', 'key', 'replacement', 'password']"
"More secure, easier to keep up with, fishing resistant for the most part.","['secure', 'easier', 'keep', 'fishing', 'resistant', 'part']"
"So, pass resistant for the most part.","['pas', 'resistant', 'part']"
"So, pass resistant for the most part.","['pas', 'resistant', 'part']"
"So, pass keys and they come to us from an keys and they come to us from an keys and they come to us from an organization called the PHTO Alliance, fast identity online.","['pas', 'key', 'come', 'key', 'come', 'key', 'come', 'organization', 'called', 'phto', 'alliance', 'fast', 'identity', 'online']"
There's a lot of fast identity online.,"['lot', 'fast', 'identity', 'online']"
There's a lot of fast identity online.,"['lot', 'fast', 'identity', 'online']"
There's a lot of companies that have signed up for this.,"['lot', 'company', 'signed']"
companies that have signed up for this.,"['company', 'signed']"
companies that have signed up for this.,"['company', 'signed']"
"I mean, just to name drop a few, Amazon, I mean, just to name drop a few, Amazon, I mean, just to name drop a few, Amazon, Google, uh, Target, PayPal, Microsoft, Tik Tok, those are all organizations that are part of this.","['mean', 'name', 'drop', 'amazon', 'mean', 'name', 'drop', 'amazon', 'mean', 'name', 'drop', 'amazon', 'google', 'target', 'paypal', 'microsoft', 'tik', 'tok', 'organization', 'part']"
And the phto that are part of this.,"['phto', 'part']"
And the phto that are part of this.,"['phto', 'part']"
And the phto alliance came out with a report that alliance came out with a report that alliance came out with a report that said that 93% of accounts from those said that 93% of accounts from those said that 93% of accounts from those organizations are eligible for pass keys and that in are eligible for pass keys and that in are eligible for pass keys and that in fact onethird of people have actually enabled those as well.,"['phto', 'alliance', 'came', 'report', 'alliance', 'came', 'report', 'alliance', 'came', 'report', 'said', 'account', 'said', 'account', 'said', 'account', 'organization', 'eligible', 'pas', 'key', 'eligible', 'pas', 'key', 'eligible', 'pas', 'key', 'fact', 'onethird', 'people', 'actually', 'enabled', 'well']"
I remember when I enabled those as well.,"['remember', 'enabled', 'well']"
I remember when I enabled those as well.,"['remember', 'enabled', 'well']"
"I remember when I first started talking about pass keys, a first started talking about pass keys, a first started talking about pass keys, a lot of people said, ""Ah, this doesn't lot of people said, ""Ah, this doesn't lot of people said, ""Ah, this doesn't work.","['remember', 'first', 'started', 'talking', 'pas', 'key', 'first', 'started', 'talking', 'pas', 'key', 'first', 'started', 'talking', 'pas', 'key', 'lot', 'people', 'said', 'lot', 'people', 'said', 'lot', 'people', 'said', 'work']"
What about this?,[]
What about that?,[]
work.,['work']
What about this?,[]
What about that?,[]
work.,['work']
What about this?,[]
What about that?,[]
It's got problems.,"['got', 'problem']"
It is working.,['working']
It It's got problems.,"['got', 'problem']"
It is working.,['working']
It It's got problems.,"['got', 'problem']"
It is working.,['working']
It It's working.,['working']
"Large companies are using this and it's getting deployed."" IBM internally, we made a switch to where internally, we made a switch to where internally, we made a switch to where all employees have to use this when all employees have to use this when all employees have to use this when we're authenticating into our internal systems.","['large', 'company', 'using', 'getting', 'deployed', 'ibm', 'internally', 'made', 'switch', 'internally', 'made', 'switch', 'internally', 'made', 'switch', 'employee', 'use', 'employee', 'use', 'employee', 'use', 'authenticating', 'internal', 'system']"
"So, we're using this across the systems.","['using', 'across', 'system']"
"So, we're using this across the systems.","['using', 'across', 'system']"
"So, we're using this across the entire company as well.","['using', 'across', 'entire', 'company', 'well']"
"And me personally, if I go into my password personally, if I go into my password personally, if I go into my password manager, which is where these can be manager, which is where these can be manager, which is where these can be stored, I've got 17 pass keys already, stored, I've got 17 pass keys already, stored, I've got 17 pass keys already, and I expect it will grow over time.","['personally', 'password', 'personally', 'password', 'personally', 'password', 'manager', 'manager', 'manager', 'stored', 'got', 'pas', 'key', 'already', 'stored', 'got', 'pas', 'key', 'already', 'stored', 'got', 'pas', 'key', 'already', 'expect', 'grow', 'time']"
"So, and I expect it will grow over time.","['expect', 'grow', 'time']"
"So, and I expect it will grow over time.","['expect', 'grow', 'time']"
"So, I think pass keys are a good I think pass keys are a good I think pass keys are a good alternative.","['think', 'pas', 'key', 'good', 'think', 'pas', 'key', 'good', 'think', 'pas', 'key', 'good', 'alternative']"
They help us with what is alternative.,"['help', 'alternative']"
They help us with what is alternative.,"['help', 'alternative']"
"They help us with what is the number one uh cause of data the number one uh cause of data the number one uh cause of data breaches, which are fishing attacks, which in many cases are going after your which in many cases are going after your which in many cases are going after your credentials, your passwords.","['help', 'number', 'one', 'cause', 'data', 'number', 'one', 'cause', 'data', 'number', 'one', 'cause', 'data', 'breach', 'fishing', 'attack', 'many', 'case', 'going', 'many', 'case', 'going', 'many', 'case', 'going', 'credential', 'password']"
And I can't steal your password if you don't have steal your password if you don't have steal your password if you don't have one.,"['steal', 'password', 'steal', 'password', 'steal', 'password', 'one']"
A pass key is a better alternative.,"['pas', 'key', 'better', 'alternative']"
one.,['one']
A pass key is a better alternative.,"['pas', 'key', 'better', 'alternative']"
one.,['one']
A pass key is a better alternative.,"['pas', 'key', 'better', 'alternative']"
"Okay, confession time.","['okay', 'confession', 'time']"
"I built a time Okay, confession time.","['built', 'time', 'okay', 'confession', 'time']"
"I built a time Okay, confession time.","['built', 'time', 'okay', 'confession', 'time']"
I built a time machine and traveled into the future.,"['built', 'time', 'machine', 'traveled', 'future']"
"Okay, not really, but play along.","['okay', 'really', 'play', 'along']"
"I Okay, not really, but play along.","['okay', 'really', 'play', 'along']"
"I Okay, not really, but play along.","['okay', 'really', 'play', 'along']"
"I found a copy of the latest IBM cost of a found a copy of the latest IBM cost of a found a copy of the latest IBM cost of a data breach report because I mean, what data breach report because I mean, what data breach report because I mean, what else would a security nerd grab when else would a security nerd grab when else would a security nerd grab when they go into the future?","['found', 'copy', 'latest', 'ibm', 'cost', 'found', 'copy', 'latest', 'ibm', 'cost', 'found', 'copy', 'latest', 'ibm', 'cost', 'data', 'breach', 'report', 'mean', 'data', 'breach', 'report', 'mean', 'data', 'breach', 'report', 'mean', 'else', 'would', 'security', 'nerd', 'grab', 'else', 'would', 'security', 'nerd', 'grab', 'else', 'would', 'security', 'nerd', 'grab', 'future']"
Cost of a data they go into the future?,"['cost', 'data', 'future']"
Cost of a data they go into the future?,"['cost', 'data', 'future']"
Cost of a data breach report.,"['cost', 'data', 'breach', 'report']"
And what did I find in breach report.,"['find', 'breach', 'report']"
And what did I find in breach report.,"['find', 'breach', 'report']"
And what did I find in there?,['find']
"Well, I found that one of the top there?","['well', 'found', 'one', 'top']"
"Well, I found that one of the top there?","['well', 'found', 'one', 'top']"
"Well, I found that one of the top causes of data breaches was quantum cracking of conventional cryptography.","['well', 'found', 'one', 'top', 'cause', 'data', 'breach', 'quantum', 'cracking', 'conventional', 'cryptography']"
"Unfortunately, I forgot to note the year Unfortunately, I forgot to note the year Unfortunately, I forgot to note the year of the report.","['unfortunately', 'forgot', 'note', 'year', 'unfortunately', 'forgot', 'note', 'year', 'unfortunately', 'forgot', 'note', 'year', 'report']"
It slipped my mind.,"['slipped', 'mind']"
"So, I of the report.",['report']
It slipped my mind.,"['slipped', 'mind']"
"So, I of the report.",['report']
It slipped my mind.,"['slipped', 'mind']"
"So, I won't be able to tell you exactly what won't be able to tell you exactly what won't be able to tell you exactly what year that's going to happen, but I do year that's going to happen, but I do year that's going to happen, but I do know it wasn't all that far into the know it wasn't all that far into the know it wasn't all that far into the future because there were no flying cars.","['able', 'tell', 'exactly', 'able', 'tell', 'exactly', 'able', 'tell', 'exactly', 'year', 'going', 'happen', 'year', 'going', 'happen', 'year', 'going', 'happen', 'know', 'far', 'know', 'far', 'know', 'far', 'future', 'flying', 'car']"
"So, the good news though is that cars.","['good', 'news', 'though', 'car']"
"So, the good news though is that cars.","['good', 'news', 'though', 'car']"
"So, the good news though is that you can do something to avert that you can do something to avert that you can do something to avert that disaster now by implementing what's known as quantum safe cryptography or some people refer to it as postquantum some people refer to it as postquantum some people refer to it as postquantum cryptography.","['good', 'news', 'though', 'something', 'avert', 'something', 'avert', 'something', 'avert', 'disaster', 'implementing', 'known', 'quantum', 'safe', 'cryptography', 'people', 'refer', 'postquantum', 'people', 'refer', 'postquantum', 'people', 'refer', 'postquantum', 'cryptography']"
Do it now.,[]
"So, now you've seen what my Do it now.",['seen']
"So, now you've seen what my Do it now.",['seen']
"So, now you've seen what my crystal ball sees happening in cyber security in 2026 and beyond.","['seen', 'crystal', 'ball', 'see', 'happening', 'cyber', 'security', 'beyond']"
"Now, I'd security in 2026 and beyond.","['security', 'beyond']"
"Now, I'd security in 2026 and beyond.","['security', 'beyond']"
"Now, I'd like to hear from you to see what you like to hear from you to see what you like to hear from you to see what you think.","['like', 'hear', 'see', 'like', 'hear', 'see', 'like', 'hear', 'see', 'think']"
Where did I hit and where did I think.,"['hit', 'think']"
Where did I hit and where did I think.,"['hit', 'think']"
Where did I hit and where did I miss?,"['hit', 'miss']"
Be gentle.,['gentle']
Crystal balls aren't perfect after all.,"['crystal', 'ball', 'perfect']"
What do you see perfect after all.,"['see', 'perfect']"
What do you see perfect after all.,"['see', 'perfect']"
What do you see happening in the future?,"['see', 'happening', 'future']"
Post all of happening in the future?,"['post', 'happening', 'future']"
Post all of happening in the future?,"['post', 'happening', 'future']"
Post all of that in the comments section below and that in the comments section below and that in the comments section below and next year we can all look back and see next year we can all look back and see next year we can all look back and see how we did.,"['post', 'comment', 'section', 'comment', 'section', 'comment', 'section', 'next', 'year', 'look', 'back', 'see', 'next', 'year', 'look', 'back', 'see', 'next', 'year', 'look', 'back', 'see']"
